"Unidad Territorial"
"Regiones                          RegiÃ³n Metropolitana"
"Provincias                        (Todas)"
"Comunas                           (Todas)"
""
""
"Delito"
"Grupo Delictual                   Delitos de mayor connotaciÃ³n social"
"Delitos                           (Todos)"
""
""
"Temporalidad"
"AÃ±o                              2023,2022,2021"
"Trimestre                         (Todos)"
"Mes                               (Todos)"
""
""
""
"2021               2022                 2023"
"Tipo Participante        Sexo            Edad"
"Menores de 14 aÃ±os    503,0000000000       775,0000000000       769,0000000000"
"14 - 17 aÃ±os          1.035,0000000000     2.150,0000000000     2.366,0000000000"
"18 - 29 aÃ±os          14.569,0000000000    21.838,0000000000    22.927,0000000000"
"30 - 44 aÃ±os          18.736,0000000000    26.548,0000000000    28.491,0000000000"
"MUJER"
"45 - 64 aÃ±os          12.655,0000000000    17.797,0000000000    19.387,0000000000"
"65 aÃ±os y mÃ¡s        2.643,0000000000     3.871,0000000000     4.521,0000000000"
"No identifica          35,0000000000        85,0000000000        88,0000000000"
"Total                  50.176,0000000000    73.064,0000000000    78.549,0000000000"
"Menores de 14 aÃ±os    356,0000000000       631,0000000000       633,0000000000"
"14 - 17 aÃ±os          991,0000000000       2.108,0000000000     2.390,0000000000"
"18 - 29 aÃ±os          23.298,0000000000    32.306,0000000000    32.235,0000000000"
"30 - 44 aÃ±os          35.533,0000000000    49.020,0000000000    48.400,0000000000"
"VICTIMA              HOMBRE"
"45 - 64 aÃ±os          24.440,0000000000    32.841,0000000000    33.941,0000000000"
"65 aÃ±os y mÃ¡s        5.193,0000000000     7.000,0000000000     8.056,0000000000"
"No identifica          47,0000000000        88,0000000000        145,0000000000"
"Total                  89.858,0000000000    123.994,0000000000   125.800,0000000000"
"Menores de 14 aÃ±os    859,0000000000       1.406,0000000000     1.402,0000000000"
"14 - 17 aÃ±os          2.026,0000000000     4.258,0000000000     4.756,0000000000"
"18 - 29 aÃ±os          37.867,0000000000    54.144,0000000000    55.162,0000000000"
"30 - 44 aÃ±os          54.269,0000000000    75.568,0000000000    76.891,0000000000"
"TOTAL"
"45 - 64 aÃ±os          37.095,0000000000    50.638,0000000000    53.328,0000000000"
"65 aÃ±os y mÃ¡s        7.836,0000000000     10.871,0000000000    12.577,0000000000"
"No identifica          82,0000000000        173,0000000000       233,0000000000"
"Total                  140.034,0000000000   197.058,0000000000   204.349,0000000000"
"Menores de 14 aÃ±os    8,0000000000         14,0000000000        12,0000000000"
"14 - 17 aÃ±os          425,0000000000       554,0000000000       547,0000000000"
"18 - 29 aÃ±os          2.751,0000000000     3.013,0000000000     3.098,0000000000"
"30 - 44 aÃ±os          2.376,0000000000     2.625,0000000000     2.937,0000000000"
"MUJER"
"45 - 64 aÃ±os          1.167,0000000000     1.207,0000000000     1.366,0000000000"
"65 aÃ±os y mÃ¡s        119,0000000000       123,0000000000       145,0000000000"
"No identifica          26,0000000000        36,0000000000        69,0000000000"
"Total                  6.872,0000000000     7.572,0000000000     8.174,0000000000"
"Menores de 14 aÃ±os    23,0000000000        44,0000000000        27,0000000000"
"14 - 17 aÃ±os          1.249,0000000000     1.738,0000000000     1.723,0000000000"
"18 - 29 aÃ±os          6.470,0000000000     8.066,0000000000     7.480,0000000000"
"30 - 44 aÃ±os          6.408,0000000000     8.486,0000000000     8.594,0000000000"
"45 - 64 aÃ±os          2.595,0000000000     3.139,0000000000     3.539,0000000000"
"VICTIMARIO           HOMBRE"
"                                                            2021                2022                2023"
"Tipo Participante       Sexo            Edad"
"65 aÃ±os y mÃ¡s       275,0000000000      282,0000000000      326,0000000000"
"No identifica         32,0000000000       80,0000000000       104,0000000000"
"Total                 17.052,0000000000   21.835,0000000000   21.793,0000000000"
"Menores de 14 aÃ±os   31,0000000000       58,0000000000       39,0000000000"
"14 - 17 aÃ±os         1.674,0000000000    2.292,0000000000    2.270,0000000000"
"18 - 29 aÃ±os         9.221,0000000000    11.079,0000000000   10.578,0000000000"
"30 - 44 aÃ±os         8.784,0000000000    11.111,0000000000   11.531,0000000000"
"TOTAL"
"45 - 64 aÃ±os         3.762,0000000000    4.346,0000000000    4.905,0000000000"
"65 aÃ±os y mÃ¡s       394,0000000000      405,0000000000      471,0000000000"
"No identifica         58,0000000000       116,0000000000      173,0000000000"
"Total                 23.924,0000000000   29.407,0000000000   29.967,0000000000"
""
