Unnamed: 0,Unnamed: 1,Unnamed: 2,2018,2019,2020,2021,2022,2023
,HOMBRE,,,,,,,
,,Menores de 14 anos,1699,1789,818,1031,1232,1251
,,14 - 17 anos,2514,2787,1195,1173,2283,2555
,,18 - 29 anos,43296,44736,30177,27166,34701,35106
,,30 - 44 anos,57289,59965,46203,42543,55288,55896
,,45 - 64 anos,41150,42675,34330,31320,39012,40999
,,65 anos y mas,8581,9041,6931,7240,9003,10536
,,No identifica,90,92,93,120,154,275
,,Total,154619,161085,119747,110593,141673,146618
,TOTAL,,,,,,,
,,Menores de 14 anos,4065,4213,2026,2727,3118,3074
,,14 - 17 anos,6183,6265,2975,2992,5332,5728
,,18 - 29 anos,81615,83124,55674,53407,67151,67985
,,30 - 44 anos,100122,105001,79337,77063,97718,100475
,,45 - 64 anos,70484,72978,57458,55254,67449,71628
,,65 anos y mas,15187,15971,12026,13379,16213,18836
,,No identifica,164,174,168,244,323,543
,,Total,277820,287726,209664,205066,257304,268269
VICTIMARIO,MUJER,,,,,,,
,,Menores de 14 anos,57,46,22,13,12,15
,,14 - 17 anos,2420,2050,730,512,591,556
,,18 - 29 anos,13061,10688,5609,5837,5252,4927
,,30 - 44 anos,11337,8862,5205,5944,5983,6064
,,45 - 64 anos,5471,4460,2524,3086,2871,2949
,,65 anos y mas,483,409,274,323,316,376
,,No identifica,72,36,24,87,197,342
,,Total,32901,26551,14388,15802,15222,15229
,HOMBRE,,,,,,,
,,Menores de 14 anos,97,108,54,35,64,42
,,14 - 17 anos,5186,5252,2540,1968,2655,2400
,,18 - 29 anos,43931,34774,18962,17685,17851,15668
,,30 - 44 anos,38964,31691,19638,21209,22013,20863
,,45 - 64 anos,16639,13894,9045,10060,9757,9406
,,65 anos y mas,1385,1267,982,1206,1150,1190
,,No identifica,144,82,90,185,470,769
,,Total,106346,87068,51311,52348,53960,50338
,TOTAL,,,,,,,
,,Menores de 14 anos,154,154,76,48,76,57
,,14 - 17 anos,7606,7302,3270,2480,3246,2956
,,18 - 29 anos,56992,45462,24571,23522,23103,20595
,,30 - 44 anos,50301,40553,24843,27153,27996,26927
,,45 - 64 anos,22110,18354,11569,13146,12628,12355
,,65 anos y mas,1868,1676,1256,1529,1466,1566
,,No identifica,216,118,114,272,667,1111
,,Total,139247,113619,65699,68150,69182,65567
