Unidad Territorial,2018,2019,2020,2021,2022,2023
TOTAL PAIS,549837,554829,386483,335017,488268,515311
Region Metropolitana,251482,258053,176132,152652,215870,225670
Provincia de Santiago,200188,205305,139617,121294,173067,181660
Santiago,30849,31540,18755,18091,27588,29794
Cerrillos,3781,4104,2791,2247,3549,3687
Cerro Navia,2585,2671,2146,2103,2644,3265
Conchali,3693,4174,3208,2336,3181,3539
El Bosque,4675,4723,3221,2697,3390,3493
Estacion Central,9115,9735,6508,5297,7999,10520
Huechuraba,3653,3787,2392,2030,2628,2893
Independencia,3624,4093,3050,2699,3693,3672
La Cisterna,4129,4299,3272,2894,4117,4278
La Florida,15041,14944,9542,7154,11163,10916
La Granja,3589,3728,2571,2165,2766,2809
La Pintana,4724,4586,3297,2748,3574,3468
La Reina,3852,3917,2539,2061,2927,2715
Las Condes,10093,9850,5604,5372,7621,6597
Lo Barnechea,2130,2148,1448,1181,1516,1545
Lo Espejo,2680,3089,2580,2055,2430,2385
Lo Prado,2873,3027,2153,1949,2800,3106
Macul,3712,3966,2966,2379,3477,3773
Maipu,11528,12379,9151,7390,11089,11497
Nunoa,8734,8372,5953,5037,7327,7580
Pedro Aguirre Cerda,2699,2768,2286,1952,2457,2603
Penanolen,5275,5936,4320,3703,5015,4812
Providencia,13175,12550,6635,7345,11298,11340
Pudahuel,6798,7325,5113,4368,5987,6883
Quilicura,5643,5769,4657,3622,4898,5101
Quinta Normal,5161,5202,3663,3149,4666,5265
Recoleta,8058,8290,6153,5649,7310,7719
Renca,3991,4109,3285,2730,3423,3813
San Joaquin,2829,2942,2262,1791,2733,3043
San Miguel,5521,5577,4263,3607,5098,5314
San Ramon,2680,2411,1571,1490,2031,2176
Vitacura,3298,3294,2262,2003,2672,2059
