Grupo delictual,2018,2019,2020,2021,2022,2023
Delitos de mayor connotacion social,200188,205305,139617,121294,173067,181660
Homicidios y femicidios,245,268,385,255,325,359
Hurtos,55620,54264,24765,23543,35081,40928
Lesiones leves,17002,17939,12541,12079,14626,15925
"Lesiones menos graves, graves o gravisimas",4205,4778,3959,3706,4356,4303
Otros robos con fuerza,2829,2996,2222,2544,3544,3703
Robo con violencia o intimidacion,40485,45380,39301,26305,41516,43679
Robo de objetos de o desde vehiculo,27112,26842,19232,17199,22155,21123
Robo de vehi­culo motorizado,10810,10707,10060,11897,14473,10934
Robo en lugar habitado,12207,10912,6273,5432,8048,7518
Robo en lugar no habitado,11831,13797,9182,6639,9387,9297
Robo por sorpresa,16740,16174,10767,10603,18290,22739
Violaciones,1120,1258,955,1111,1289,1180
Infraccion a ley de armas,4401,3033,2109,2175,3036,3528
Incivilidades,165266,132816,76558,91445,95012,99548
Abigeato,23,17,10,15,13,16
Abusos sexuales y otros delitos sexuales,3549,3941,3097,3776,4753,4228
Violencia intrafamiliar,29006,30996,25947,32458,31234,31420
Receptacion,3191,3396,2955,2574,3476,3312
Robo frustrado,2853,3063,2632,2310,3258,3211
